,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
170,170,Beecroft,2119.0,Café,Shopping Mall,Italian Restaurant,Convenience Store,Thai Restaurant,Park,Fast Food Restaurant,Chinese Restaurant,Liquor Store,Pizza Place
171,171,Beeliar,6164.0,,,,,,,,,,
172,172,Beenak,3799.0,,,,,,,,,,
173,173,Beenleigh,4207.0,Grocery Store,Theme Park,Stadium,,,,,,,
174,174,Bees Creek,822.0,,,,,,,,,,
175,175,Belair,5052.0,Shopping Mall,Wine Shop,Pizza Place,Train Station,,,,,,
176,176,Belconnen,2617.0,Café,Chinese Restaurant,Coffee Shop,Electronics Store,Clothing Store,Fast Food Restaurant,Burrito Place,Supermarket,Multiplex,Sushi Restaurant
177,177,Beldon,6027.0,Fast Food Restaurant,Supermarket,Portuguese Restaurant,Sandwich Place,Liquor Store,Shop & Service,,,,
178,178,Belfield,2191.0,Pizza Place,Farmers Market,Furniture / Home Store,Middle Eastern Restaurant,BBQ Joint,Gas Station,,,,
179,179,Belgrave,3160.0,Café,Restaurant,Sandwich Place,Grocery Store,Bus Station,Movie Theater,Pizza Place,Train Station,Pub,
180,180,Belgrave Heights,3160.0,Nature Preserve,,,,,,,,,
181,181,Belgrave South,3160.0,,,,,,,,,,
182,182,Belhus,6069.0,,,,,,,,,,
183,183,Belivah,4207.0,,,,,,,,,,
184,184,Bella Vista,2153.0,Fast Food Restaurant,Food Truck,Café,Thai Restaurant,,,,,,
185,185,Bellamack,832.0,Financial or Legal Service,Café,,,,,,,,
186,186,Bellara,4507.0,Shopping Mall,Supermarket,Coffee Shop,Sandwich Place,,,,,,
187,187,Bellbird Park,4300.0,Health & Beauty Service,,,,,,,,,
188,188,Bellbowrie,4070.0,Fast Food Restaurant,,,,,,,,,
189,189,Bellerive,7018.0,Seafood Restaurant,Pub,Australian Restaurant,Gym,Harbor / Marina,Asian Restaurant,Stadium,Deli / Bodega,Italian Restaurant,
190,190,Bellevue,6056.0,,,,,,,,,,
191,191,Bellevue Heights,5050.0,Park,,,,,,,,,
192,192,Bellevue Hill,2023.0,BBQ Joint,Park,Pizza Place,Flea Market,Café,,,,,
193,193,Bellfield,3081.0,Café,,,,,,,,,
194,194,Bellmere,4510.0,Bakery,,,,,,,,,
195,195,Bellthorpe,4514.0,,,,,,,,,,
196,196,Belmont,4153.0,Gun Range,,,,,,,,,
197,197,Belmont,6104.0,Shop & Service,Pet Store,Pharmacy,Electronics Store,,,,,,
198,198,Belmore,2192.0,Café,Bakery,Gym / Fitness Center,Chinese Restaurant,Pizza Place,Greek Restaurant,Football Stadium,Lebanese Restaurant,Food & Drink Shop,Fish Market
199,199,Belrose,2085.0,Soccer Field,Pub,Café,Grocery Store,,,,,,
200,200,Bennett Springs,6063.0,Park,Camera Store,,,,,,,,
201,201,Bentleigh,3204.0,Supermarket,Portuguese Restaurant,Sandwich Place,Pizza Place,Café,Mobile Phone Shop,Bagel Shop,Thai Restaurant,Chinese Restaurant,Pub
202,202,Bentleigh East,3165.0,Dog Run,,,,,,,,,
203,203,Bentley,6102.0,Café,Middle Eastern Restaurant,Bubble Tea Shop,Pub,College Cafeteria,,,,,
